epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3969,0.83525,6.03501,0.00271,0,0,0,0,0.49697,6.59805,0.00184,3.333e-05,3.333e-05,3.333e-05
2,41.9583,0.8096,5.98001,0.00237,0.00164,0.02083,0.0003,0.00015,0.44645,6.54016,0.00159,7.00708e-05,7.00708e-05,7.00708e-05
3,60.8279,0.69535,5.67277,0.00214,0.0022,0.04167,0.00052,0.00026,0.46914,6.40155,0.00169,9.80124e-05,9.80124e-05,9.80124e-05
4,79.456,0.64078,5.38286,0.00201,0.00515,0.125,0.00684,0.0038,0.4627,6.2757,0.0017,0.000117155,0.000117155,0.000117155
5,97.3038,0.72825,5.17073,0.00208,0.00674,0.1875,0.04098,0.03011,0.43166,6.23571,0.00168,0.000127498,0.000127498,0.000127498
6,115.869,0.61217,4.80244,0.00189,0.00553,0.1875,0.06541,0.04871,0.44236,6.21714,0.00176,0.000129043,0.000129043,0.000129043
7,134.11,0.64778,4.6526,0.00206,0.00577,0.22917,0.08993,0.06572,0.4766,6.18709,0.00192,0.000121788,0.000121788,0.000121788
8,151.913,0.64044,4.495,0.00192,0.00579,0.25,0.11093,0.08516,0.47664,6.15183,0.00183,0.000105734,0.000105734,0.000105734
9,170.127,0.68335,4.43736,0.00212,0.00557,0.25,0.11405,0.08868,0.48619,6.12385,0.00194,8.08808e-05,8.08808e-05,8.08808e-05
10,188.51,0.59926,4.33004,0.00192,0.00515,0.25,0.11761,0.09372,0.46224,6.10364,0.00182,4.72286e-05,4.72286e-05,4.72286e-05
