epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7624,0.80228,7.08013,0.00698,0.00454,0.70968,0.0479,0.0296,0.60652,5.45686,0.00759,5.001e-05,5.001e-05,5.001e-05
2,18.2669,0.66465,6.41553,0.00658,0.00543,0.79032,0.09713,0.06737,0.72566,5.44024,0.00897,0.000105138,0.000105138,0.000105138
3,20.6783,0.73668,6.19221,0.00656,0.00797,0.98387,0.43759,0.31874,0.63695,5.25752,0.00765,0.000147063,0.000147063,0.000147063
4,23.0691,0.67583,5.68078,0.0066,0.00848,1,0.52125,0.3873,0.60324,5.23005,0.00759,0.000175785,0.000175785,0.000175785
5,25.4178,0.65981,5.53488,0.00636,0.00867,1,0.48226,0.36867,0.53923,5.25019,0.0064,0.000191305,0.000191305,0.000191305
6,27.7479,0.65742,5.40786,0.00582,0.00883,1,0.44684,0.35687,0.51461,5.19238,0.00606,0.000193622,0.000193622,0.000193622
7,30.0675,0.65144,5.30774,0.00616,0.00894,1,0.44172,0.36104,0.52833,5.13969,0.00593,0.000182737,0.000182737,0.000182737
8,32.434,0.60798,5.18064,0.00544,0.00893,1,0.44644,0.36388,0.54721,5.08791,0.00638,0.000158648,0.000158648,0.000158648
9,34.7734,0.64232,5.04952,0.00623,0.00891,1,0.44965,0.36782,0.55057,5.02539,0.00637,0.000121358,0.000121358,0.000121358
10,37.109,0.58596,5.06022,0.00523,0.00891,1,0.50086,0.42409,0.55404,4.95399,0.00634,7.08642e-05,7.08642e-05,7.08642e-05
